,protein,total_fat,carbohydrates,alcohol,label,name,food_energy,labels_names
0,0.75999999,0.090000004,5.119999886,0.0,29,"מי גבינה, חומצי, נוזלי",24.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
1,5.254734039,1.731351376,15.27007294,0.0,19,"בורגול, מבושל עם שעועית לבנה ועגבניות",112.2690506,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
2,1.029999971,4.380000114,6.889999866,0.0,19,חלב אם,70.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3,3.299999952,3.0,4.599999905,0.0,29,"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",60.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
4,3.0,1.0,4.599999905,0.0,29,"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",42.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
5,3.200000048,3.0,4.599999905,0.0,29,"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",58.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
6,3.0,3.0,4.699999809,0.0,29,"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",57.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
7,3.299999952,1.0,5.099999905,0.0,29,"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",43.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
8,2.5,3.0,12.0,0.0,19,"משקה חלב בטעם וניל,3% שומן, טרה",85.80000305,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
9,3.200000048,2.0,4.900000095,0.0,29,"חלב 2% שומן, כולל דל לקטוז, תנובה",51.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
