,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
0,0.75999999,0.090000004,5.119999886,16,"מי גבינה, חומצי, נוזלי",24.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
1,5.254734039,1.731351376,15.27007294,14,"בורגול, מבושל עם שעועית לבנה ועגבניות",112.2690506,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
2,1.029999971,4.380000114,6.889999866,31,חלב אם,70.0,לא סווג
3,3.299999952,3.0,4.599999905,31,"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",60.0,לא סווג
4,3.0,1.0,4.599999905,2,"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",42.0,10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
5,3.200000048,3.0,4.599999905,31,"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",58.0,לא סווג
6,3.0,3.0,4.699999809,31,"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",57.0,לא סווג
7,3.299999952,1.0,5.099999905,2,"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",43.0,10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
8,2.5,3.0,12.0,19,"משקה חלב בטעם וניל,3% שומן, טרה",85.80000305,לא סווג
9,3.200000048,2.0,4.900000095,31,"חלב 2% שומן, כולל דל לקטוז, תנובה",51.0,לא סווג
10,3.56,4.14,4.45,7,חלב עזים 4% שומן,69.0,6.1 מוצרי חלב לא ממותקים 6.4 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
11,3.0,3.700000048,4.699999809,13,"חלב עזים 3.7% שומן, צוריאל",66.0,לא סווג
12,6.0,7.0,5.400000095,7,חלב כבשים 7% שומן,108.0,6.1 מוצרי חלב לא ממותקים 6.4 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
13,3.099999905,3.0,4.699999809,31,חלב נאקות (גמלים),58.0,לא סווג
14,3.24000001,3.289999962,4.730000019,31,"חלב מיובש, מלא, משוחזר",61.0,לא סווג
15,35.09999847,0.720000029,52.18999863,1,"חלב מיובש דל שומן ,אבקה, ללא תוספת ויטמין A",358.0,1.8 מידגנים (Cereals)
16,11.72999954,0.540000021,73.44999695,1,"מי גבינה מיובשים, אבקה, DRIED WHEY",339.0,1.8 מידגנים (Cereals)
17,7.91,8.7,54.4,17,"חלב מרוכז, ממותק, לא מדולל",321.0,1.4 דברי מאפה (לחמים) מדגן לא מלא
